Source,Target,Type
106,693,aG-B
693,742,W-B
106,742,W-G
296,693,W-B
106,296,W-G
485,979,aG-B
979,1414,W-B
485,1414,W-G
979,1037,W-B
485,1037,W-G
143,967,aG-B
967,1006,W-B
143,1006,W-G
967,1338,W-B
143,1338,W-G
33,1479,aG-B
33,816,W-B
816,1479,W-G
33,71,W-B
71,1479,W-G
573,638,aG-B
100,638,W-B
100,573,W-G
638,1345,W-B
573,1345,W-G
1173,1285,aG-B
1173,1351,W-B
1285,1351,W-G
766,1173,W-B
766,1285,W-G
1170,1458,aG-B
1170,1262,W-B
1262,1458,W-G
66,1170,W-B
66,1458,W-G
390,1151,aG-B
615,1151,W-B
390,615,W-G
1151,1380,W-B
390,1380,W-G
815,971,aG-B
971,1044,W-B
815,1044,W-G
280,971,W-B
280,815,W-G
699,1444,aG-B
10,699,W-B
10,1444,W-G
1258,1444,W-G
699,833,W-B
72,278,aG-B
72,767,W-B
278,767,W-G
72,751,W-B
278,751,W-G
338,655,aG-B
338,1345,W-B
655,1345,W-G
338,947,W-B
655,947,W-G
142,1496,aG-B
1380,1496,W-B
142,1380,W-G
438,1496,W-B
142,438,W-G
632,875,aG-B
875,1460,W-G
875,888,W-G
13,632,W-B
624,632,W-B
837,1303,aG-B
837,842,W-G
1220,1303,W-B
837,1220,W-G
1303,1396,W-B
591,690,aG-B
378,690,W-B
378,591,W-G
688,690,W-B
591,688,W-G
846,1167,aG-B
846,1482,W-G
846,870,W-G
1167,1503,W-B
18,1167,W-B
110,1157,aG-B
477,1157,W-B
110,477,W-G
503,1157,W-B
110,503,W-G
123,1136,aG-B
1006,1136,W-B
123,1006,W-G
884,1136,W-B
123,884,W-G
193,626,aG-B
626,1006,W-B
193,1006,W-G
626,956,W-B
193,956,W-G
205,712,aG-B
712,1000,W-B
205,1000,W-G
608,712,W-B
205,608,W-G
907,1251,aG-B
907,1426,W-B
1251,1426,W-G
117,907,W-B
117,1251,W-G
375,989,aG-B
949,989,W-B
375,949,W-G
254,989,W-B
254,375,W-G
14,953,aG-B
14,579,W-B
579,953,W-G
14,1041,W-B
953,1041,W-G
146,935,aG-B
137,935,W-B
137,146,W-G
326,935,W-B
146,326,W-G
540,1129,aG-B
122,1129,W-B
122,540,W-G
993,1129,W-B
540,993,W-G
540,631,aG-B
122,631,W-B
631,1050,W-B
131,661,aG-B
93,661,W-B
93,131,W-G
661,1317,W-B
131,1317,W-G
203,911,aG-B
118,911,W-B
118,203,W-G
590,911,W-B
203,590,W-G
147,927,aG-B
922,927,W-B
147,922,W-G
775,927,W-B
147,775,W-G
50,1298,aG-B
554,1298,W-G
324,1298,W-G
50,800,W-B
50,111,W-B
19,811,aG-B
19,917,W-B
811,917,W-G
19,990,W-B
559,811,W-G
139,983,aG-B
197,983,W-B
139,197,W-G
983,1256,W-B
139,1256,W-G
256,1432,aG-B
256,1439,W-B
1432,1439,W-G
256,788,W-B
788,1432,W-G
1476,1491,aG-B
1004,1476,W-B
1004,1491,W-G
283,1476,W-B
283,1491,W-G
498,642,aG-B
642,1406,W-B
498,1406,W-G
642,1286,W-B
498,1286,W-G
428,1040,aG-B
428,520,W-B
520,1040,W-G
122,428,W-B
122,1040,W-G
475,883,aG-B
243,883,W-B
243,475,W-G
73,883,W-B
73,475,W-G
168,931,aG-B
10,931,W-B
10,168,W-G
488,931,W-B
168,488,W-G
603,1183,aG-B
291,1183,W-B
291,603,W-G
355,1183,W-B
355,603,W-G
899,1270,aG-B
916,1270,W-G
725,899,W-B
725,1270,W-G
456,899,W-B
899,930,W-B
722,881,aG-B
881,1258,W-B
722,1258,W-G
367,881,W-B
367,722,W-G
650,672,aG-B
476,672,W-B
476,650,W-G
672,1351,W-B
650,1351,W-G
633,649,aG-B
209,633,W-B
209,649,W-G
605,633,W-B
605,649,W-G
298,1301,aG-B
298,1043,W-G
24,298,W-G
720,1301,W-B
396,1301,W-B
1152,1509,aG-B
1152,1351,W-B
1351,1509,W-G
1152,1430,W-B
1430,1509,W-G
332,988,aG-B
192,988,W-B
192,332,W-G
988,1301,W-B
332,1301,W-G
578,886,aG-B
867,886,W-B
886,905,W-B
578,1353,W-G
565,578,W-G
416,1168,aG-B
731,1168,W-B
416,731,W-G
952,1168,W-B
416,952,W-G
104,673,aG-B
593,673,W-B
104,593,W-G
518,673,W-B
104,518,W-G
538,1150,aG-B
828,1150,W-B
538,828,W-G
497,1150,W-B
497,538,W-G
960,1308,aG-B
126,960,W-B
126,1308,W-G
604,960,W-B
604,1308,W-G
733,961,aG-B
961,1264,W-B
733,1264,W-G
373,961,W-B
373,733,W-G
331,340,aG-B
312,331,W-G
166,331,W-G
260,340,W-B
266,340,W-B
1335,1513,aG-B
395,1335,W-G
258,1513,W-B
67,1513,W-B
427,1335,W-G
189,662,aG-B
662,871,W-B
189,871,W-G
662,1387,W-B
189,1387,W-G
521,1059,aG-B
365,1059,W-B
365,521,W-G
1059,1264,W-B
521,1264,W-G
640,1401,aG-B
640,1426,W-B
1401,1426,W-G
