ID,Name,Sex,Race,Node_Role,Network,Label,Label2
170,Antonio de la Cruz,m,WCA,S,2_to_9,,
171,Antonio de la Cruz,m,WCA,S,1,,
173,Antonio de la Cruz,m,WCA,S,2_to_9,,
174,Antonio de Martinez,m,Non-Af,F,2_to_9,,
175,Antonio de Quesada,m,Non-Af,F,1,,
176,Antonio del Corte Real,m,WCA,S,1,,
177,Antonio Garcia,m,WA,S,1,,
178,Antonio Garcia,m,WA,F,2_to_9,,
179,Antonio Gomez,m,Non-Af,F,1,,
180,Antonio Hernandez,m,WCA,S,642,,
181,Antonio Hernandez,m,creole,S,642,,
182,Antonio Hernandez,m,unkBlack,S,2_to_9,,
183,Antonio Juarez,m,WA,S,2_to_9,,
184,Antonio Lopez,m,WCA,S,2_to_9,,
185,Antonio Parrales,m,Non-Af,F,1,,
186,Antonio Perez,m,unkBlack,S,1,,
187,Antonio Sardina,m,creole,S,1,,
188,Antonio Vasquez,m,Non-Af,F,2_to_9,,
189,Baltazar,m,WA,S,1,,
190,Baltazar,m,WCA,S,642,,
191,Baltazar,m,creole,S,1,,
192,Baltazar de los Reyes,m,WCA,S,2_to_9,,
193,Bartolome,m,WCA,S,642,,
194,Bartolome,m,WCA,S,642,,
195,Bartolome,m,WCA,S,1,,
196,Bartolome,m,WCA,S,2_to_9,,
197,Bartolome de Mesa,m,WCA,S,642,Bartolomé de Mesa (Herrera),Bartolomé de Mesa (Herrera)
198,Bartolome,m,WCA,S,642,,
199,Bartolome,m,WCA,S,642,,
201,Bartolome,m,WA,S,1,,
202,Bartolome,m,WCA,S,642,,
203,Bartolome,m,WCA,S,1,,
204,Bartolome,m,WCA,S,642,,
205,Bartolome de la Cruz,m,WCA,S,2_to_9,,
207,Bartolome de San Pedro,m,Non-Af,F,642,,
208,Bartolome Diaz,m,Asian,F,1,,
209,Bartolome Manuel,m,WCA,S,2_to_9,,
210,Bartolome Marquez,m,creole,F,2_to_9,,
211,Beatriz,f,WCA,S,1,,
212,Beatriz,f,WCA,S,642,,
213,Beatriz,f,Non-Af,F,1,,
214,Beatriz de Mansilla,f,WCA,S,2_to_9,,
215,Bernabe Gomez,m,Non-Af,F,2_to_9,,
216,Bernabe Mendez,m,Non-Af,F,1,,
217,Bernardina Duran,f,WCA,S,1,,
218,Brijida,f,WA,S,1,,
219,Catalina,f,WCA,S,1,,
220,Catalina,f,WCA,S,642,,
221,Catalina,f,Unk,S,2_to_9,,
222,Catalina,f,WCA,S,2_to_9,,
223,Catalina,f,WCA,S,1,,
224,Catalina,f,WCA,S,1,,
225,Catalina,f,unkBlack,S,1,,
226,Catalina,f,WCA,S,2_to_9,,
227,Catalina,f,WCA,S,2_to_9,,
228,Catalina,f,WCA,S,642,,
229,Catalina,f,WCA,S,1,,
230,Catalina,f,WCA,S,642,,
231,Catalina,f,WCA,S,642,,
232,Catalina,f,WCA,S,2_to_9,,
233,Catalina,f,WCA,S,642,,
234,Catalina,f,WCA,S,120,,
235,Catalina,f,WCA,S,642,,
236,Catalina,f,WCA,S,1,,
237,Catalina,f,unkBlack,S,120,,
238,Catalina,f,WCA,S,2_to_9,,
239,Catalina,f,WCA,S,120,,
240,Catalina,f,WCA,S,1,,
241,Catalina,f,WCA,S,642,,
242,Catalina,f,WCA,S,642,,
243,Catalina,f,WCA,S,2_to_9,,
244,Catalina,f,WCA,S,642,,
245,Catalina,f,WCA,S,2_to_9,,
246,Catalina,f,WCA,S,642,,
247,Catalina,f,WCA,S,2_to_9,,
248,Catalina,f,WCA,S,1,,
249,Catalina,f,WCA,S,120,,
250,Catalina,f,WA,S,2_to_9,,
251,Catalina,f,WCA,S,1,,
252,Catalina,f,WCA,S,1,,
253,Catalina,f,WCA,S,642,,
254,Catalina,f,WCA,S,1,,
255,Catalina de Espinosa,f,WA,S,1,,
256,Catalina de la Cruz,f,WCA,S,1,,
257,Catalina de la Cruz,f,creole,F,642,,
258,Catalina de la Encarnacion,f,WCA,S,1,,
259,Catalina de lo Angeles,f,WCA,S,642,,
260,Catalina de San Nicolas,f,creole,F,1,,
261,Catalina de Teresa,f,creole,F,1,,
262,Catalina de Torres,f,Non-Af,F,1,,
263,Cecelia de Silva,f,Non-Af,F,1,,
264,Ciaria,f,WCA,S,1,,
265,Clara de Cuevas,f,creole,S,1,,
266,Clara de la Cruz,f,WCA,S,1,,
267,Clara de San Bernardo,f,WCA,S,1,,
268,Cristina,f,WCA,S,642,,
269,Cristina,f,WCA,S,1,,
270,Cristina,f,WCA,S,1,,
271,Cristina,f,WCA,S,642,,
272,Cristina,f,WCA,S,1,,
273,Cristina,f,WCA,S,642,,
274,Cristina,f,WCA,S,1,,
275,Cristina de la Cruz,f,WCA,S,2_to_9,,
276,Cristobal,m,WCA,S,1,,
277,Cristobal,m,WA,S,1,,
278,Cristobal,m,WCA,S,1,,
279,Cristobal,m,WA,S,1,,
280,Cristobal Moreno,m,WCA,S,2_to_9,,
281,Cristobal,m,WA,S,2_to_9,,
282,Cristobal,m,WCA,S,642,,
283,Cristobal,m,WCA,S,1,,
284,Cristobal,m,WCA,S,1,,
285,Cristobal,m,WCA,S,642,,
286,Cristobal,m,WCA,S,120,,
287,Cristobal,m,WCA,S,2_to_9,,
288,Cristobal,m,WCA,S,642,,
289,Cristobal,m,WCA,S,1,,
290,Cristobal de Jesus,m,WCA,S,2_to_9,,
291,Cristobal de Jesus,m,WA,S,1,,
292,Cristobal de Santana,m,creole,S,1,,
294,Damian,m,WCA,S,1,,
295,Diego,m,WCA,S,120,,
296,Diego,m,WCA,S,642,,
297,Diego,m,WCA,S,1,,
298,Diego,m,WA,S,2_to_9,,
299,Diego,m,WA,S,2_to_9,,
301,Diego,m,WCA,S,2_to_9,,
302,Diego,m,WCA,S,120,,
303,Diego,m,WCA,S,2_to_9,,
304,Diego,m,WCA,S,2_to_9,,
305,Diego,m,WCA,S,2_to_9,,
306,Diego,m,WCA,S,2_to_9,,
307,Diego,m,unkBlack,S,1,,
308,Diego de Aranda,m,Non-Af,F,1,,
309,Diego de Aviles,m,non-Af,F,1,,
310,Diego de campos,m,creole,S,1,,
311,Diego de Cobarrubias,m,creole,S,2_to_9,,
312,Diego de Espinosa,m,creole,F,1,,
313,Diego de la Cruz,m,WCA,S,1,,
314,Diego de la Cruz,m,WCA,S,2_to_9,,
315,Diego de la Cruz,m,WCA,S,1,,
316,Diego de la Cruz,m,WCA,S,2_to_9,,
317,Diego de Leyva,m,Non-Af,F,1,,
